0	0	0	0.3125
0	0	1	0.3125
0	1	0	0.3125
0	1	1	0.3125
0	2	0	0.3125
0	2	1	0.3125
0	3	0	0.3125
0	3	1	0.3125
0	4	0	0.3125
0	4	1	0.3125
0	5	0	0.3125
0	5	1	0.3125
0	6	0	0.3125
0	6	1	0.3125
0	7	0	0.3125
0	7	1	0.3125
1	0	0	0.3125
1	0	1	0.3125
1	1	0	0.3125
1	1	1	0.3125
1	2	0	0.3125
1	2	1	0.3125
1	3	0	0.3125
1	3	1	0.3125
1	4	0	0.3125
1	4	1	0.3125
1	5	0	0.3125
1	5	1	0.3125
1	6	0	0.3125
1	6	1	0.3125
1	7	0	0.3125
1	7	1	0.3125
2	0	0	0.3125
2	0	1	0.3125
2	1	0	0.3125
2	1	1	0.3125
2	2	0	0.3125
2	2	1	0.3125
2	3	0	0.3125
2	3	1	0.3125
2	4	0	0.3125
2	4	1	0.3125
2	5	0	0.3125
2	5	1	0.3125
2	6	0	0.3125
2	6	1	0.3125
2	7	0	0.3125
2	7	1	0.3125
3	0	0	0.3125
3	0	1	0.3125
3	1	0	0.3125
3	1	1	0.3125
3	2	0	0.3125
3	2	1	0.3125
3	3	0	0.3125
3	3	1	0.3125
3	4	0	0.3125
3	4	1	0.3125
3	5	0	0.3125
3	5	1	0.3125
3	6	0	0.3125
3	6	1	0.3125
3	7	0	0.3125
3	7	1	0.3125
